edition_id,subedition_id,circ,floor_usd
378eca01-3f24-40d4-b108-349af607dcf2+0acba665-bec9-461d-a48b-c198f33db585,0,91,2100
378eca01-3f24-40d4-b108-349af607dcf2+a9ab8e7e-2bb1-4ff8-8ac8-bf72a5c63453,0,45,750
378eca01-3f24-40d4-b108-349af607dcf2+c1705022-93ce-4457-9549-52483c7f78bd,0,22,8888
3806ab9e-bd18-4e8e-8534-1d0b05492b2d+2f11ed0d-ac42-483d-b3a1-0d84d11169a8,0,50,1799
3806ab9e-bd18-4e8e-8534-1d0b05492b2d+3943bf4a-6bb2-49d7-986f-2cec2940094c,0,27,3200
3806ab9e-bd18-4e8e-8534-1d0b05492b2d+6b515631-beb4-4224-8f34-122ce6d10a8e,0,30,2300
391e23a0-f7b6-469e-b1d0-fc24caaebd4d+a59251c0-d5e0-4fb7-9163-3c0598a13c29,0,398,14
391e23a0-f7b6-469e-b1d0-fc24caaebd4d+ffcaf95e-ff1a-4c0d-b710-bb8b8839e99a,0,673,2
39eb0ef6-a729-4bdb-a9ca-783e2d825ef8+c2f783fb-9ab4-4aee-b1b2-cb9d08f21e2a,0,633,99
3a0ae6ce-f22e-4d98-b1fe-906f859df983+815bf3d5-300d-4176-bc53-a89681b57811,0,43,333
3a880c8b-c080-4cc7-b393-b3a83dd54a35+4a4a8fc2-5653-45f4-bc68-a3bf6b74cccb,0,30,3000
3f9ded22-b456-47cb-a1dd-41542ff7ab43+ea07fe07-7622-464b-b822-228fcf0e374f,19,23,464
3f9ded22-b456-47cb-a1dd-41542ff7ab43+ea07fe07-7622-464b-b822-228fcf0e374f,20,10,1999
3f9ded22-b456-47cb-a1dd-41542ff7ab43+ea07fe07-7622-464b-b822-228fcf0e374f,0,122,265
400f5417-c3e5-4946-a516-6a7323402673+59b1a895-cbdf-4ed2-9f8f-12899e2b00e9,0,35,1050
40beca59-4136-471b-b1c0-78b41b4c7262+028fa2e6-65a8-4dd0-a46a-03805483fb65,0,12,965
40beca59-4136-471b-b1c0-78b41b4c7262+dd535f40-fa77-4537-8525-8d57711ee96d,0,23,590
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+037eed54-f2db-402c-b090-48484e928065,21,5,355
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+037eed54-f2db-402c-b090-48484e928065,22,1,
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+037eed54-f2db-402c-b090-48484e928065,0,39,106
